region,caseNumber,caseNumberFull,consulate,status,submitDate,statusDate,Issued,AP,Ready,Refused,Refused221g,InTransit,Transfer,NVC,2nlDate
AF,3,2023AF3,NRB,Issued,14-Oct-2021,18-Oct-2022,1,0,0,0,0,0,0,0,01-Jan-2023
AF,4,2023AF4,ABD,Ready,31-Oct-2021,24-Apr-2023,0,0,1,0,0,0,0,0,14-Apr-2023
AF,5,2023AF5,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,6,2023AF6,KGL,Issued,14-Oct-2021,09-Dec-2022,1,0,0,0,0,0,0,0,01-Jan-2023
AF,10,2023AF10,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,11,2023AF11,FTN,Ready,08-Nov-2021,17-Apr-2023,0,0,2,0,0,0,0,0,17-Apr-2023
AF,13,2023AF13,YDE,Refused,10-Oct-2021,14-Mar-2023,0,0,0,1,0,0,0,0,01-Jan-2023
AF,18,2023AF18,DKR,Issued,26-Oct-2021,18-Nov-2022,1,0,0,0,0,0,0,0,01-Jan-2023
AF,20,2023AF20,DJI,Refused221g,08-Nov-2021,05-Apr-2023,0,0,0,0,1,0,0,0,01-Jan-2023
AF,22,2023AF22,YDE,Issued,13-Oct-2021,02-Dec-2022,1,0,0,0,0,0,0,0,01-Jan-2023
AF,29,2023AF29,FTN,Ready,09-Oct-2021,17-Apr-2023,0,0,1,0,0,0,0,0,17-Apr-2023
AF,31,2023AF31,NRB,Refused221g,07-Nov-2021,30-Mar-2023,0,0,4,0,1,0,0,0,01-Jan-2023
AF,32,2023AF32,KHT,Issued,12-Oct-2021,02-Mar-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,34,2023AF34,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,35,2023AF35,KIN,Ready,02-Nov-2021,20-Apr-2023,0,0,10,0,0,0,0,0,01-Jan-2023
AF,37,2023AF37,NRB,Ready,19-Oct-2021,02-May-2023,0,0,3,0,0,0,0,0,23-Mar-2023
AF,38,2023AF38,KIN,Refused221g,25-Oct-2021,21-Mar-2023,0,0,5,0,1,0,0,0,01-Jan-2023
AF,40,2023AF40,ACC,Issued,11-Oct-2021,28-Mar-2023,2,0,0,0,0,0,0,0,01-Jan-2023
AF,42,2023AF42,ACC,Issued,07-Oct-2021,28-Feb-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,44,2023AF44,PRS,Issued,01-Nov-2021,26-Apr-2023,4,0,0,0,0,0,0,0,16-Feb-2023
